"LegacyId","App","Package","LegacyPath","ArtifactComplete","Domain","Disposition","NewCapabilityId","AcceptanceCase","ReviewNote"
"PAGE-020","会员端","pageHome","pageHome/buyingCard/buySuccess","True","commerce","REPLACE","order.result","pages/orders/result","Purchase success / order detail via getMemberOrder; catalog redirects after submitMemberCardPurchase. Evidence: apps/member-miniapp/src/pages/orders/result.vue."
"PAGE-021","会员端","pageHome","pageHome/QRcode/QRcode","True","member-home","KEEP","member.official-account-follow","AC-07-06","Static WeChat official-account QR (qr_code_c.png); copy says 长按图片识别 and 课程取消/上课提醒/排队成功通知; reached from home 去关注 when serviceCodeFocus unset. No API, no member identity code. Evidence: pageHome/QRcode/QRcode.wxml, pages/index/index.wxml."
"PAGE-022","会员端","pageCourse","pageCourse/coachCourse/index","True","booking","KEEP","booking.private-detail","pages/booking/detail","Private session detail + book/cancel. Legacy pageCourse/coachCourse → pages/booking/detail. Evidence: stage-06; apps/member-miniapp/src/pages/booking/detail.vue."
"PAGE-023","会员端","pageCourse","pageCourse/coachCourse/share-index","True","sharing","MERGE","booking.private-detail","pages/booking/detail","Share landing merged into session detail (AC-06-10 public read). Legacy coachCourse/share-index → pages/booking/detail. Evidence: stage-06-booking-scheduling.md."
"PAGE-024","会员端","pageCourse","pageCourse/clusterCourse/index","True","booking","KEEP","booking.group-detail","pages/booking/detail","Group session detail + book/cancel/waitlist. Legacy pageCourse/clusterCourse → pages/booking/detail. Evidence: stage-06; apps/member-miniapp/src/pages/booking/detail.vue."
"PAGE-025","会员端","pageCourse","pageCourse/clusterCourse/share-index","True","sharing","MERGE","booking.group-detail","pages/booking/detail","Share landing merged into group session detail. Legacy clusterCourse/share-index → pages/booking/detail. Evidence: stage-06-booking-scheduling.md."
"PAGE-026","会员端","pageMine","pageMine/myInfo/index","True","member-profile","REPLACE","member.profile","AC-07-07","Profile hub: getMyUserInfo merges tenant userField config with userFaceurl/sex/nickname/ident/phone/birthday/height/weight; inline save and avatar upload. Evidence: pageMine/myInfo/index.js."
"PAGE-027","会员端","pageMine","pageMine/myInterests/index","True","member-card","KEEP","member-card.benefits","pages/cards/benefits","Card benefits snapshot via getMemberMemberCardBenefits. Evidence: apps/member-miniapp/src/pages/cards/benefits.vue."
"PAGE-028","会员端","pageMine","pageMine/useRecord/index","True","ledger","KEEP","member.ledger","pages/cards/detail","Per-card entitlement ledger list. Legacy pageMine/useRecord tabs → pages/cards/detail ledger section. Evidence: stage-05; apps/member-miniapp/src/pages/cards/detail.vue."
"PAGE-029","会员端","pageMine","pageMine/removeCard/index","True","member-card","REPLACE","member-card.visibility","pages/cards/hidden","Hide/restore wallet cards. Legacy pageMine/removeCard → pages/cards/hidden + hide API on detail. Evidence: stage-05; apps/member-miniapp/src/pages/cards/hidden.vue."
"PAGE-030","会员端","pageMine","pageMine/memberAgreement/index","True","legal","REPLACE","legal.document","pages/legal/index","Membership agreement viewer. Evidence: apps/member-miniapp/src/pages/legal/index.vue."
"PAGE-031","会员端","pageMine","pageMine/totalStatistics/index","True","member-insight","KEEP","member.stats.year","AC-07-08","Yearly appointment rollup list via sumUserList (yearlist, totalCount) linking to month drill-down. Evidence: pageMine/totalStatistics/index.js."
"PAGE-032","会员端","pageMine","pageMine/appointmentStatistics/index","True","member-insight","KEEP","member.stats.month","AC-07-09","Month calendar summary (sumAppointOfMonth) plus paginated appointment list (selectAppointOfMonth) with course-type tabs. Evidence: pageMine/appointmentStatistics/index.js."
"PAGE-033","会员端","pageMine","pageMine/rankingRecord/index","True","ranking","REPLACE","ranking.opt-in","AC-07-10","Monthly top-15 rankList plus myRank block; gated on mine tab by showMonthRank config. Evidence: pageMine/rankingRecord/index.js, pages/mine/index.wxml."
"PAGE-034","会员端","pageMine","pageMine/modifidInfo/index","True","member-profile","MERGE","member.profile","AC-07-07","Single-field editor; phone uses getWeixinPhoneNumber; saves via UpdateUserInfo. Evidence: pageMine/modifidInfo/index.js."
"PAGE-035","会员端","pageMine","pageMine/point/index","True","points","KEEP","points.ledger","AC-07-11","Paginated PointListByUserId ledger with totalPoint and descText; shown on mine when pointStarted==1. Evidence: pageMine/point/index.js, pages/mine/index.wxml."
"PAGE-036","管理端","main","pages/start/index","True","identity","REPLACE","identity.deeplink.router","AC-10-01","Cold-start deeplink router: scene/siteId/sid/go dispatches getStopInfo then routes to league class, PT detail, platform billing, or home. Evidence: 管理端/pages/start/index.js handleAddress()."
"PAGE-037","管理端","main","pages/home/home","True","identity","REPLACE","staff.dashboard.home","AC-10-02","Staff home tab: todayReport KPIs, saleCard feed, appointRecord list, venue switcher, SaaS expiry CTA via getSiteInfo. Evidence: 管理端/pages/home/home.js."
"PAGE-038","管理端","main","pages/course/course","True","booking","KEEP","booking.staff-daily-board","pages/course/index","Staff day board via GET /staff/sites/{site}/booking/daily-board. Legacy pages/course/course → staff-miniapp pages/course/index. Evidence: stage-06; apps/staff-miniapp/src/pages/course/index.vue."
"PAGE-039","管理端","main","pages/member/member","True","crm","MERGE","crm.member.list","AC-08-01","Member tab: sumReport dashboard chips, pinyin u-index-list, findUser2 filters (card/tag/remark/holiday/frozen), cardCountTag visitor toggle, permission func 31. Evidence: 管理端/pages/member/member.js, member.wxml."
"PAGE-040","管理端","main","pages/report/report","True","reporting","MERGE","report.dashboard.summary","AC-09-01","Staff report tab hub: mainpage KPIs (totalProfit, month12 chart), computeAgain daily recount gate. Evidence: 管理端/pages/report/report.js."
"PAGE-041","管理端","main","pages/shop/shop","True","tenant-config","MERGE","tenant.settings.hub","AC-10-03","Shop tab settings hub linking pageConfig tools (membership fields, agreements, reminders, closures, exports) gated by shop_basics permission. Evidence: 管理端/pages/shop/shop.js baseConfig routes."
"PAGE-042","管理端","main","pages/login/login","True","identity","MERGE","identity.staff.login","AC-10-04","Staff H5/MP login shell: wxAuthorize redirect, token handoff, getStopInfo dispatch, redirect guard. Evidence: 管理端/pages/login/login.js."
"PAGE-043","管理端","main","uview-ui/components/u-avatar-cropper/u-avatar-cropper","True","identity","MERGE","media.avatar.crop","AC-10-05","Shared avatar crop utility navigated from staff profile, staff edit, store logo, CRM lead form. Evidence: staff-edit.js, personal.js, store-setting.js, pageMember/information/index.js."
"PAGE-044","管理端","main","uview-ui/components/u-avatar-cropper/u-avatar-croppershop","True","tenant-config","MERGE","tenant.branding.image-crop","AC-10-06","Shop-carousel image crop variant for member mini-app home slides. Evidence: 管理端/pageConfig/memberConfigShow/editMenberConfigShow.js."
"PAGE-045","管理端","main","pages/shop/authorizationPage/info/index","True","identity","MERGE","identity.staff.onboarding.profile","AC-10-07","First-visit avatar/nickname capture with aduserCount social proof; uploads via /common/uploadfile then routes to phone step. Evidence: 管理端/pages/shop/authorizationPage/info/index.js."
"PAGE-046","管理端","main","pages/shop/authorizationPage/phone/index","True","identity","MERGE","identity.staff.onboarding.phone","AC-10-08","WeChat phone grant for staff onboarding via getWeixinPhoneNumber. Evidence: 管理端/pages/shop/authorizationPage/phone/index.js."
"PAGE-047","管理端","main","pages/shopOrder/index","True","platform-billing","REPLACE","platform.subscription.orders","pages/settings/platform/subscription-orders/index","Calls findserviceSuccessOrder (staff token) or findMyOrder with one-time jscode; SaaS platform renewal orders, not member card commerce. Evidence: 管理端/pages/shopOrder/index.js."
"PAGE-048","管理端","pagesCourse","pagesCourse/index/index","True","schedule","KEEP","schedule.editor","pages/course/timetable/index","Full timetable editor: scroll calendar (findPlan), add session (addCourse), copy/clear/download components. Evidence: 管理端/pagesCourse/index/index.js, components/course-scroll.js."
"PAGE-049","管理端","pagesCourse","pagesCourse/index/kind-reminder","True","schedule","MERGE","schedule.copy-hint","pages/course/timetable/display-config","Copy-timetable reminder text editor via getPlanHint/savePlanHint. Evidence: 管理端/pagesCourse/index/kind-reminder.js."
"PAGE-050","管理端","pagesCourse","pagesCourse/index/course-title","True","schedule","MERGE","schedule.display-title","pages/course/timetable/display-config","Timetable header title via getPlanTitle/savePlanTitle. Evidence: 管理端/pagesCourse/index/course-title.js."
"PAGE-051","管理端","pagesCourse","pagesCourse/index/course-option","True","schedule","MERGE","schedule.display-tags","pages/course/timetable/display-config","Advanced timetable tag/legend editor via getArrangeTagData/saveArrangeTagData. Evidence: 管理端/pagesCourse/index/course-option.js."
"PAGE-052","管理端","pagesCourse","pagesCourse/index/all-course","True","schedule","KEEP","schedule.course-catalog","pages/settings/courses/index","Searchable course list (findallcourse) linking to per-course schedule management. Evidence: 管理端/pagesCourse/index/all-course.js."
"PAGE-053","管理端","pagesCourse","pagesCourse/index/management-schedule","True","schedule","KEEP","schedule.batch-by-course","pages/course/batch-tools","Per-course batch suspend/unsuspend/delete/change via findPlanByCourseId and batch* APIs. Evidence: 管理端/pagesCourse/index/management-schedule.js."
"PAGE-054","管理端","pagesCourse","pagesCourse/subject/subject-edit","True","schedule","MERGE","schedule.session-editor","pages/course/session-form","Single session create/edit form. Legacy pagesCourse/subject/subject-edit → pages/course/session-form. Evidence: apps/staff-miniapp/src/pages.json; apps/staff-miniapp/src/pages/course/session-form.vue."
"PAGE-055","管理端","pagesCourse","pagesCourse/personalTrainerDetails/index","True","booking","KEEP","booking.staff-private-detail","pages/course/session-detail","Private roster fulfillment (cancel/absent/notes/reschedule). Legacy personalTrainerDetails → pages/course/session-detail. Evidence: stage-acceptance-matrix Staff session fulfillment UI PASS."
"PAGE-056","管理端","pagesCourse","pagesCourse/leagueClassDetails/index","True","booking","KEEP","booking.staff-group-detail","pages/course/session-detail","Group roster + waitlist fulfillment. Legacy leagueClassDetails → pages/course/session-detail. Evidence: stage-acceptance-matrix Staff session fulfillment UI PASS."
"PAGE-057","管理端","pagesCourse","pagesCourse/home/venue","True","site","MERGE","site.context-selector","pages/sites/index","Staff multi-site switcher. Legacy pagesCourse/home/venue → pages/sites/index (+ home/course inline switch). Evidence: apps/staff-miniapp/src/pages/sites/index.vue."
"PAGE-058","管理端","pagesImp","pagesImp/shop/setting/personal/personal","True","identity","REPLACE","staff.profile.self","AC-10-09","Self-service staff profile: getMyInfo, avatar upload, updateMyInfo, loginout. Evidence: 管理端/pagesImp/shop/setting/personal/personal.js."
"PAGE-059","管理端","pagesImp","pagesImp/shop/setting/personal/nickname-edit","True","identity","MERGE","staff.profile.self","AC-10-09","Nickname sub-editor calling updateMyInfo. Evidence: 管理端/pagesImp/shop/setting/personal/nickname-edit.js."
"PAGE-060","管理端","pagesImp","pagesImp/shop/setting/personal/phone-edit","True","identity","MERGE","staff.profile.self","AC-10-09","Phone sub-editor via getWeixinPhoneNumber + updateMyInfo. Evidence: 管理端/pagesImp/shop/setting/personal/phone-edit.js."
"PAGE-061","管理端","pagesImp","pagesImp/shop/setting/store/store-setting","True","tenant-config","REPLACE","site.profile.form","AC-10-10","Site profile editor: getSiteInfo, getConst city data, saveSiteInfo with open hours. Evidence: 管理端/pagesImp/shop/setting/store/store-setting.js."
"PAGE-062","管理端","pagesImp","pagesImp/shop/staff/staff","True","identity","REPLACE","staff.directory.list","AC-10-11","Staff directory list via getAllStaff with invite/share deep link. Evidence: 管理端/pagesImp/shop/staff/staff.js."
"PAGE-063","管理端","pagesImp","pagesImp/shop/staff/staff-edit","True","identity","REPLACE","staff.directory.upsert","AC-10-12","Create/edit staff: savestaff, findRoleList, findDefaultRole, changeSiteOwner, leaveWork, delstaff, checkExistPlan; staff row passed via URL not getOne API. Evidence: 管理端/pagesImp/shop/staff/staff-edit.js."
"PAGE-064","管理端","pagesImp","pagesImp/card/home/home","True","card-product","KEEP","card-product.catalog","pages/settings/card-products/index","Card template list/search/sort + archive tab. Legacy pagesImp/card/home/home → pages/settings/card-products/index. Evidence: stage-acceptance-matrix Staff card product catalog UI."
"PAGE-065","管理端","pagesImp","pagesImp/card/home/del-card","True","card-product","KEEP","card-product.recycle-bin","pages/settings/card-products/index","Archived templates tab (catalogStatus=archived) + restore. Legacy del-card → card-products index recycle bin. Evidence: apps/staff-miniapp/src/pages/settings/card-products/index.vue."
"PAGE-066","管理端","pagesImp","pagesImp/card/home/del-card-tp","True","card-product","MERGE","card-product.recycle-bin","pages/settings/card-products/index","Union recycle variant merged into same archived tab. Legacy del-card-tp → pages/settings/card-products/index. Evidence: stage-05-member-card-ledger.md."
"PAGE-067","管理端","pagesImp","pagesImp/card/create/create","True","card-product","MERGE","card-product.type-picker","pages/settings/card-products/edit","储值/计次/期限 type chooser inline on create. Legacy card/create/create → pages/settings/card-products/edit. Evidence: apps/staff-miniapp/src/pages/settings/card-products/edit.vue CARD_TYPES."
"PAGE-068","管理端","pagesImp","pagesImp/card/member-card/index","True","card-product","KEEP","card-product.editor","pages/settings/card-products/edit","Full template editor (price, scope, rules). Legacy member-card/index → pages/settings/card-products/edit. Evidence: stage-acceptance-matrix Staff card product catalog UI."
"PAGE-069","管理端","pagesImp","pagesImp/card/member-card/index-tp","True","card-product","MERGE","card-product.editor","pages/settings/card-products/edit","Union editor variant merged into same edit page. Legacy index-tp → pages/settings/card-products/edit. Evidence: stage-05-member-card-ledger.md."
"PAGE-070","管理端","pagesImp","pagesImp/card/card-subject/index","True","card-product","REPLACE","card-product.pricing-matrix","pages/settings/card-products/edit","Per-course priceOverride matrix on editor. Legacy card-subject/getAllCardPrice → card-products edit course scope. Evidence: apps/staff-miniapp/src/pages/settings/card-products/edit.vue."
"PAGE-071","管理端","pagesImp","pagesImp/card/setting-more-subject/index","True","card-product","REPLACE","card-product.course-scope.group","pages/settings/card-products/edit","Group course scope multi-select on editor. Legacy setting-more-subject → pages/settings/card-products/edit. Evidence: stage-acceptance-matrix course-scope matrix."
"PAGE-072","管理端","pagesImp","pagesImp/card/setting-single-subject/index","True","card-product","REPLACE","card-product.course-scope.single","pages/settings/card-products/edit","Single-card course scope on editor. Legacy setting-single-subject → pages/settings/card-products/edit. Evidence: stage-acceptance-matrix course-scope matrix."
"PAGE-073","管理端","pagesImp","pagesImp/shop/staff/invited-share","True","identity","REPLACE","staff.invite.accept","AC-10-13","Invite acceptance flow: getInviteData, getUserInfoBySign, getUnionId, acceptInvite, getStopInfo. Evidence: 管理端/pagesImp/shop/staff/invited-share.js."
"PAGE-074","管理端","pagesImp","pagesImp/shop/staff/components/permission-popup","True","identity","MERGE","staff.role.editor","AC-10-14","Custom role permission matrix popup: findAllFunction + saveRole. Evidence: 管理端/pagesImp/shop/staff/components/permission-popup.js."
"PAGE-075","管理端","pagesImp","pagesImp/subject/subject","True","course-catalog","KEEP","course-catalog.hub","pages/settings/courses/index","Course catalog hub; listStaffCourses; StaffCourseCatalogTest."
"PAGE-076","管理端","pagesImp","pagesImp/subject/subject-edit","True","course-catalog","KEEP","course-catalog.group.editor","pages/settings/courses/edit","Group course editor; createStaffCourse/updateStaffCourse; StaffCourseCatalogWriteTest."
"PAGE-077","管理端","pagesImp","pagesImp/subject/subject-personal-edit","True","course-catalog","KEEP","course-catalog.private.editor","pages/settings/courses/edit","Private course editor; createStaffCourse/updateStaffCourse; StaffCourseCatalogWriteTest."
"PAGE-078","管理端","pagesImp","pagesImp/subject/suject-choice-card","True","card-product","MERGE","card-product.picker","pages/settings/card-products/edit","Card-product picker merged into editor course-scope selection. Legacy suject-choice-card → pages/settings/card-products/edit. Evidence: stage-05-member-card-ledger.md."
"PAGE-079","管理端","pagesImp","pagesImp/authorization/info/index","True","identity","MERGE","identity.staff.onboarding.profile","AC-10-07","Subpackage duplicate of main-package staff onboarding profile step. Evidence: 管理端/pagesImp/authorization/info/index.js."
"PAGE-080","管理端","pagesImp","pagesImp/authorization/phone/index","True","identity","MERGE","identity.staff.onboarding.phone","AC-10-08","Subpackage duplicate phone grant + invite accept path. Evidence: 管理端/pagesImp/authorization/phone/index.js."
"PAGE-081","管理端","pagesImp","pagesImp/authorization/error/index","True","identity","MERGE","identity.staff.onboarding.error","AC-10-15","Invite/onboarding failure screen; retries getStopInfo. Evidence: 管理端/pagesImp/authorization/error/index.js."
"PAGE-082","管理端","pagesImp","pagesImp/authorization/success/index","True","identity","MERGE","identity.staff.onboarding.success","AC-10-16","Post-invite success screen; dispatches getStopInfo then routes home. Evidence: 管理端/pagesImp/authorization/success/index.js."
"PAGE-083","管理端","pagesImp","pagesImp/QRcode/QRcode","True","identity","REJECT","","AC-10-17","Static WeChat official-account follow QR (qr_code.png assets only); no API and no tenant-specific payload. Evidence: 管理端/pagesImp/QRcode/QRcode.js, QRcode.wxml."
"PAGE-084","管理端","pageMember","pageMember/search","True","crm","MERGE","crm.member.list","AC-08-02","Keyword search via findUser (pagesize 100), highlight name/phone, opens detail or cardToolbox popup. Evidence: 管理端/pageMember/search.js."
"PAGE-085","管理端","pageMember","pageMember/screen","True","crm","MERGE","crm.member.filter","AC-08-03","Advanced filter + batch entry: card/tag/remark/leave/stop, birthday/register ranges, sumMode/runOff cohorts, flag presets from tab chips. Evidence: 管理端/pageMember/screen.js."
"PAGE-086","管理端","pageMember","pageMember/details/index","True","crm","KEEP","crm.member.detail","AC-08-04","Detail hub: wallet summary, tag/remark/app-access, make-over transfer, mini-program claim QR; drills to card/booking/payment sub-pages. Evidence: 管理端/pageMember/details/index.js."
"PAGE-087","管理端","pageMember","pageMember/details/cardDetail","True","member-card","REPLACE","member-card.detail","pages/members/card-detail","Staff per-card console (benefits, ledger, freeze, adjust). Legacy pageMember/details/cardDetail → pages/members/card-detail. Evidence: stage-05; apps/staff-miniapp/src/pages/members/card-detail.vue."
"PAGE-088","管理端","pageMember","pageMember/details/memberPoint","True","points","REPLACE","points.ledger","AC-07-11","Staff points drill-down from member detail; Stage 07 points.ledger. Evidence: 管理端/pageMember/details/memberPoint.js."
"PAGE-089","管理端","pageMember","pageMember/details/card-consumption","True","ledger","REPLACE","member-card.usage-ledger","pages/members/card-detail","Usage/consumption ledger on card detail. Legacy card-consumption → pages/members/card-detail ledger section. Evidence: stage-05; card-detail.vue fetchMemberCardLedgerEntries."
"PAGE-090","管理端","pageMember","pageMember/details/rechargeAmount","True","order","REPLACE","payment.ledger","pages/members/card-detail","Recharge entries in immutable ledger list. Legacy rechargeAmount → pages/members/card-detail (recharge entryType). Evidence: stage-05 order adjacency."
"PAGE-091","管理端","pageMember","pageMember/details/courseDetail","True","booking","REPLACE","booking.history","pages/members/detail","Member booking history tab (upcoming/past). Legacy courseDetail → pages/members/detail bookings tab. Evidence: stage-06; apps/staff-miniapp/src/pages/members/detail.vue."
"PAGE-092","管理端","pageMember","pageMember/details/recordDetails","True","booking","REPLACE","booking.detail","pages/course/session-detail","Staff appointment drill-down via session roster. Legacy recordDetails → pages/course/session-detail. Evidence: stage-acceptance-matrix Staff session fulfillment UI."
"PAGE-093","管理端","pageMember","pageMember/information/index","True","crm","REPLACE","crm.member.form","AC-08-05","Create/edit lead: getuserFieldSetting required matrix, saveuser, adduserbatch paste import, sales consultant picker; delUser UI rejected. Evidence: 管理端/pageMember/information/index.js."
"PAGE-094","管理端","pageMember","pageMember/del-card/del-card","True","member-card","REPLACE","member-card.archive","pages/members/archived-cards/index","Archived card list UI; Stage 05 member-card.archive. Evidence: 管理端/pageMember/del-card/del-card.js."
"PAGE-095","管理端","pageMember","pageMember/del-member/del-member","True","crm","REPLACE","crm.member.deleted","AC-08-06","Soft-deleted member list via getDelUserList; restore via unDeleteUser; hard delete rejected. Evidence: 管理端/pageMember/del-member/del-member.js."
"PAGE-096","管理端","pageReport","pageReport/income/businessData","True","reporting","REPLACE","report.finance.profit.monthly","AC-09-02","Monthly profit calendar via profitMonthList with dayList drill-down. Evidence: 管理端/pageReport/income/businessData.js."
"PAGE-097","管理端","pageReport","pageReport/income/businessReportForm","True","reporting","REPLACE","report.finance.profit.summary","AC-09-03","Rolling profit summary list via profitList + computeTime banner. Evidence: 管理端/pageReport/income/businessReportForm.js."
"PAGE-098","管理端","pageReport","pageReport/income/businessDataDetail","True","reporting","REPLACE","report.finance.profit.daily-detail","AC-09-04","Single-day profit line items via profitDayList. Evidence: 管理端/pageReport/income/businessDataDetail.js."
"PAGE-099","管理端","pageReport","pageReport/course/courseReportForm","True","reporting","REPLACE","report.course.summary","AC-09-05","Course rollup via sumMainCourseList. Evidence: 管理端/pageReport/course/courseReportForm.js."
"PAGE-100","管理端","pageReport","pageReport/course/courseReportFormMonth","True","reporting","REPLACE","report.course.monthly-calendar","AC-09-06","Monthly course calendar via CourseMonthList dayList. Evidence: 管理端/pageReport/course/courseReportFormMonth.js."
"PAGE-101","管理端","pageReport","pageReport/course/courseReportFormDay","True","reporting","REPLACE","report.course.daily-breakdown","AC-09-07","Same-day team+private course rows via TeamCourseDayList and PriCourseDayList. Evidence: 管理端/pageReport/course/courseReportFormDay.js."
"PAGE-102","管理端","pageReport","pageReport/remind/cardExpires","True","member-card","REPLACE","member-card.reminder.expired","pages/report/card-reminders/index","Expiring-cards tab (withinDays filter). Legacy cardExpires → pages/report/card-reminders/index tab expiring. Evidence: stage-09 report UI; card-reminders/index.vue."
"PAGE-103","管理端","pageReport","pageReport/remind/initiationDay","True","notification","REPLACE","notification.reminder.anniversary","AC-09-08","Member anniversary list via findUserAnniversary with config thresholds. Evidence: 管理端/pageReport/remind/initiationDay.js."
"PAGE-104","管理端","pageReport","pageReport/remind/component/cardExpiresSetting","True","member-card","MERGE","member-card.reminder.config","pages/settings/defaults/card-reminder-config/index","Threshold editor for expiry reminders via saveconfig. Evidence: 管理端/pageReport/remind/component/cardExpiresSetting.js."
"PAGE-105","管理端","pageReport","pageReport/remind/component/findBalaceZeroSetting","True","member-card","MERGE","member-card.reminder.config","pages/settings/defaults/card-reminder-config/index","Zero-balance reminder threshold via saveconfig. Evidence: 管理端/pageReport/remind/component/findBalaceZeroSetting.js."
"PAGE-106","管理端","pageReport","pageReport/remind/missClassRemind","True","notification","REPLACE","notification.reminder.no-class","AC-09-09","Members with no recent class via findNoclassUserList. Evidence: 管理端/pageReport/remind/missClassRemind.js."
"PAGE-107","管理端","pageReport","pageReport/remind/leavedDue","True","member-card","REPLACE","member-card.reminder.holiday","AC-09-10","Holiday/frozen card reminder list via findHolidayCardList. Evidence: 管理端/pageReport/remind/leavedDue.js."
"PAGE-108","管理端","pageReport","pageReport/remind/birthdayRemind","True","notification","REPLACE","notification.reminder.birthday","AC-09-11","Upcoming birthdays via findUserBirthday. Evidence: 管理端/pageReport/remind/birthdayRemind.js."
"PAGE-109","管理端","pageReport","pageReport/remind/cardWill","True","member-card","REPLACE","member-card.reminder.pending-open","pages/report/card-reminders/index","Pending-open cards tab. Legacy cardWill → pages/report/card-reminders/index tab pending-open. Evidence: card-reminders/index.vue."
"PAGE-110","管理端","pageReport","pageReport/remind/penalizeCard","True","member-card","REPLACE","member-card.reminder.penalized","pages/report/card-reminders/index","Penalized/frozen cards tab. Legacy penalizeCard → pages/report/card-reminders/index tab penalized. Evidence: card-reminders/index.vue."
