LegacyId,App,LegacyEndpoint,Methods,Exports,Operation,Domain,Disposition,NewOperationId,AcceptanceCase,ReviewNote
API-038,管理端,/b/card/saveCommonCardCourse,POST,saveCommonCardCourse,write,card-product,REPLACE,card-product.course-scope.single.save,updateStaffCardProduct,"Persists single-card course mapping via courseScopes on upsert. OpenAPI PUT .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pagesImp/card/setting-single-subject/index.js."
API-039,管理端,/b/card/saveGroupCourseList,POST,saveGroupCourseList,write,card-product,REPLACE,card-product.course-scope.group.save,updateStaffCardProduct,"Persists group-card course mapping via courseScopes on upsert. OpenAPI PUT .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pagesImp/card/setting-more-subject/index.js."
API-040,管理端,/b/card/saveSortId,POST,saveSortId,write,card-product,REPLACE,card-product.sort,patchStaffCardProduct,"Persists catalog sort order via sortOrder patch. OpenAPI PATCH .../card-products/{id}; staff UI list reorder. Evidence: pagesImp/card/home/home.js."
API-041,管理端,/b/card/selectAllbackImg,POST,selectAllbackImg,query,card-product,REPLACE,card-product.face-library.list,StaffPlannedApisTest::test_card_product_course_catalog_and_points,"Card face image library. Evidence: pagesImp/card/components/cardFace.js."
API-042,管理端,/b/card/updateCardStatus,POST,updateCardStatus,write,card-product,REPLACE,card-product.sale-status,patchStaffCardProduct,"nstatus 0停售/1上架/2删除标记 via saleStatus patch. OpenAPI PATCH .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pagesImp/card/member-card/index.js."
API-043,管理端,/b/course/checkHasPlan,POST,checkHasPlan,query,course-catalog,MERGE,course-catalog.delete.preflight,StaffPlannedApisTest::test_card_product_course_catalog_and_points,"Blocks course delete when future sessions exist. Evidence: pagesImp/subject/subject-edit.js."
API-044,管理端,/b/course/delCourse,POST,delCourse,write,course-catalog,REPLACE,course-catalog.archive,archiveStaffCourse,"Archive group course template. OpenAPI POST .../courses/{id}/archive; tests StaffCourseCatalogWriteTest."
API-045,管理端,/b/course/delDrainer,POST,delDrainer,write,course-catalog,REPLACE,course-catalog.private.archive,archiveStaffCourse,"Archive private coach template via same archive endpoint with private kind; tests StaffCourseCatalogWriteTest."
API-046,管理端,/b/course/findTags,POST,findTags,query,course-catalog,REPLACE,course-catalog.tags.list,StaffPlannedApisTest::test_card_product_course_catalog_and_points,"Course tag dictionary. Evidence: tag-popup.js."
API-047,管理端,/b/course/getOnePrivateCourse,POST,getOnePrivateCourse,query,course-catalog,REPLACE,course-catalog.private.read,getStaffCourse,"Read private coach template. OpenAPI GET .../courses/{id}; tests StaffCourseCatalogTest."
API-048,管理端,/b/course/getRoomList,POST,getRoomList,query,site,REPLACE,site.room.list,listStaffRooms,"Classroom list for session editor. OpenAPI GET .../rooms; tests StaffRoomTest."
API-049,管理端,/b/course/getStaffInWorking,POST,getStaffInWorking,query,staff,MERGE,staff.roster.on-duty,listStaffDirectory,"On-duty staff picker for sessions. OpenAPI GET .../staff-directory; tests StaffDirectoryTest. Evidence: subject-trainer.js."
API-050,管理端,/b/course/getTeamCourse,POST,getTeamCourse,query,course-catalog,REPLACE,course-catalog.group.read,getStaffCourse,"Read group course template. OpenAPI GET .../courses/{id}; tests StaffCourseCatalogTest."
API-051,管理端,/b/course/saveCourseTag,POST,saveCourseTag,write,course-catalog,REPLACE,course-catalog.tags.write,StaffPlannedApisTest::test_card_product_course_catalog_and_points,"Save course tags. Evidence: tag-popup.js."
API-052,管理端,/b/course/savePrivateCourse,POST,savePrivateCourse,write,course-catalog,REPLACE,course-catalog.private.upsert,createStaffCourse|updateStaffCourse,"Create/update private coach template. OpenAPI POST/PUT .../courses; tests StaffCourseCatalogWriteTest."
API-053,管理端,/b/course/saveRoom,POST,saveRoom,write,site,REPLACE,site.room.upsert,createStaffRoom|updateStaffRoom|archiveStaffRoom,"Create/update/archive classroom. OpenAPI GET/POST/PUT .../rooms + POST .../archive; pages/settings/rooms; tests StaffRoomTest."
API-054,管理端,/b/course/saveTeamCourse,POST,saveTeamCourse,write,course-catalog,REPLACE,course-catalog.group.upsert,createStaffCourse|updateStaffCourse,"Create/update group course template. OpenAPI POST/PUT .../courses; tests StaffCourseCatalogWriteTest."
API-055,管理端,/b/course/selecctAllPriCourse,POST,selecctAllPriCourse,query,course-catalog,REPLACE,course-catalog.private.list,listStaffCourses,"List private coach templates via kind=private on GET .../courses; tests StaffCourseCatalogTest."
API-056,管理端,/b/course/selectAllTeamCourse,POST,selectAllTeamCourse,query,schedule,MERGE,schedule.group-course.picker,listStaffCourses,"Duplicate group course picker merged into GET .../courses; tests StaffCourseCatalogTest."
API-057,管理端,/b/course/upDrainerId,POST,upDrainerld,write,course-catalog,REPLACE,course-catalog.private.reassign-coach,patchStaffCourse,"Reassign coach on private template via PATCH coachStaffId. OpenAPI PATCH .../courses/{id}; tests StaffCourseCatalogWriteTest. Evidence: subject-persion.js."
API-058,管理端,/b/export/exportcard,POST,exportcard,write,card-product,MERGE,card-product.export,StaffPlannedApisTest::test_card_product_course_catalog_and_points,"Template export job; audit required. Evidence: api-catalog export write endpoint."
API-059,管理端,/b/export/exportuser,POST,exportuser,write,export,REPLACE,export.member.export,createStaffMemberExportJob,"Async member PII export job from shopReport; requires operator audit and scoped fields. OpenAPI POST .../exports/members; tests StaffExportJobTest + AsyncQueueDispatchTest. Evidence: 管理端/pageConfig/shopReport/index.js."
API-060,管理端,/b/export/findExportLog,POST,findExportLog,query,export,REPLACE,export.job.list,listStaffExportJobs,"Paged export job history for member/card exports. OpenAPI GET .../exports/jobs; staff UI polls pending/processing. Evidence: 管理端/pageConfig/shopReport/index.js."
API-061,管理端,/b/linkage/CalendarList,POST,calendarList,query,calendar,REPLACE,StaffPlannedApisTest::test_ledger_reconciliation_order_platform_calendar_identity,StaffPlannedApisTest::test_ledger_reconciliation_order_platform_calendar_identity,"Legacy component requests selectable reporting months; replace with a bounded calendar capability rather than a linkage-domain API."
API-062,管理端,/b/linkage/changeStatus,POST,changeStatus,write,staff,MERGE,staff.lifecycle.status,AC-09-46,"Chain staff enable/disable/delete status change. Evidence: 管理端/pageChain/configStaff/staff-edit.js."
API-063,管理端,/b/linkage/changeToLinkcard,POST,changeToLinkcard,write,card-product,REPLACE,card-product.cross-site.convert,StaffCardProductCatalogTest,"Converts site card to linked/union card. Evidence: pageChain/card/home/subbranch-home.js."
API-064,管理端,/b/linkage/deleteSiteBysiteOwner,POST,delShop,write,org,REPLACE,org.chain.site.remove,AC-09-47,"Remove linked branch by siteId fingerprint; must be owner-only with cascade policy, not silent delete. Evidence: 管理端/pageChain/storesManagement/index.js."
API-065,管理端,/b/linkage/detailcardreport,POST,detailcardreport,query,order,REPLACE,order.report.card-sales.detail,getStaffChainFinanceSummary,"Per-card sales detail for chain statistics via finance summary rollup. OpenAPI GET /staff/chain/reports/finance/summary; tests StaffChainReportTest. Evidence: pageChain/cardStatistics/detailed-records.js."
API-066,管理端,/b/linkage/detailreport,POST,detailreport,query,reporting,MERGE,order.report.card-sales.detail,AC-09-49,"Chain card sales detail tab via detailreport. Evidence: 管理端/pageChain/cardStatistics/index.js."
API-067,管理端,/b/linkage/findPrivateAppontmentofStaffuserid,POST,findPrivateAppontmentofStaffuserid,query,reporting,MERGE,reporting.staff-private-appointments,AC-09-37,"Private appointment lines for coach detail pages. Evidence: pageReport/coach/detailed.js, pageChain/courseStatistics/detailed.js."
API-068,管理端,/b/linkage/getAllCardInfo,POST,getAllCardInfo,query,card-catalog,MERGE,card-product.list,listStaffCardProducts,"Duplicate cross-site card filter source merged into GET .../card-products with site scope; tests StaffCardProductCatalogTest."
API-069,管理端,/b/linkage/getAllCardPrice,POST,getAllCardPrice,query,card-product,MERGE,card-product.pricing-matrix.list,getStaffCardProduct,"Chain duplicate of getAllCardPrice; courseScopes on GET .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pageChain/card/card-subject/index.js."
API-070,管理端,/b/linkage/getAllStaff,POST,getAllStaff,query,staff,REPLACE,tenant.chain.staff,listStaffChainHeadquartersStaff,"Chain HQ staff roster. OpenAPI GET /staff/chain/staff; tests StaffChainManagementTest. Evidence: pageChain/configStaff/index.js."
API-071,管理端,/b/linkage/getCardOfEachSite,POST,getCardOfEachSite,query,card-product,REPLACE,card-product.cross-site.list,listStaffCardProducts,"Per-branch linked catalog via site-scoped card-products query. OpenAPI GET .../card-products; tests StaffCardProductCatalogTest. Evidence: pageChain/card/home/subbranch-home.js."
API-072,管理端,/b/linkage/getDelCardInfo,POST,getDelCardInfo,query,card-product,MERGE,card-product.recycle-bin.list,listStaffCardProducts,"Chain archived template list; same OpenAPI GET .../card-products?catalogStatus=archived. Evidence: pagesImp/card/home/del-card-tp.js."
API-073,管理端,/b/linkage/getGroupCourseList,POST,getGroupCourseList,query,card-product,MERGE,card-product.course-scope.group.get,getStaffCardProduct,"Chain duplicate course scope read via GET .../card-products/{id} courseScopes; tests StaffCardProductEditorTest. Evidence: pageChain/card/setting-more-subject/index.js."
API-074,管理端,/b/linkage/getLinkSite,POST,getlist,query,org,REPLACE,org.chain.sites.list,getStaffChainSites,"Linked branch roster for storesManagement. OpenAPI GET /staff/chain/sites; tests StaffChainReportTest + StaffChainManagementTest. Evidence: 管理端/pageChain/storesManagement/index.js."
API-075,管理端,/b/linkage/getOneCardPrice,POST,getOneCardPrice,query,card-product,MERGE,card-product.course-scope.single.get,getStaffCardProduct,"Chain duplicate single scope read via GET .../card-products/{id} courseScopes; tests StaffCardProductEditorTest. Evidence: pageChain/card/setting-single-subject/index.js."
API-076,管理端,/b/linkage/getOnestaffInMonthDetail,POST,getOnestaffInMonthDetail,query,reporting,MERGE,report.coach.appointment-lines,AC-09-37,"Per-coach monthly appointment lines; duplicate report2/getOnestaffInMonthDetail. Evidence: pageReport/coach/detailed.js."
API-077,管理端,/b/linkage/getOnestaffInMonthSum,POST,getOnestaffInMonthSum,query,reporting,MERGE,report.coach.appointment-summary,AC-09-37,"Per-coach monthly appointment summary tab. Evidence: pageReport/coach/detailed.js."
API-078,管理端,/b/linkage/mainreport,POST,mainreport,query,reporting,MERGE,order.report.card-sales.summary,AC-09-49,"Chain card sales rollup mainreport. Evidence: 管理端/pageChain/cardStatistics/index.js."
API-079,管理端,/b/linkage/recoverDelCard,POST,recoverDelCard,write,card-product,MERGE,card-product.restore,restoreStaffCardProduct,"Chain duplicate restore. OpenAPI POST .../card-products/{id}/restore. Evidence: pagesImp/card/home/del-card-tp.js."
API-080,管理端,/b/linkage/saveCommonCardCourse,POST,saveCommonCardCourse,write,card-product,MERGE,card-product.course-scope.single.save,updateStaffCardProduct,"Chain duplicate single scope write via courseScopes on PUT .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pageChain/card/setting-single-subject/index.js."
API-081,管理端,/b/linkage/saveGroupCourseList,POST,saveGroupCourseList,write,card-product,MERGE,card-product.course-scope.group.save,updateStaffCardProduct,"Chain duplicate group scope write via courseScopes on PUT .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pageChain/card/setting-more-subject/index.js."
API-082,管理端,/b/linkage/saveLinkInfo,POST,saveLinkInfo,write,org,REPLACE,org.brand.upsert,updateStaffChainBrand,"Persist union brand name/logo on tenant. OpenAPI PUT /staff/chain/brand; tests StaffChainManagementTest. Evidence: 管理端/pageChain/brand/index.js."
API-083,管理端,/b/linkage/savestaff,POST,savestaff,write,staff,MERGE,staff.upsert,AC-09-46,"Chain duplicate staff save. Evidence: 管理端/pageChain/configStaff/staff-edit.js."
API-084,管理端,/b/linkage/staffByMonth,POST,staffByMonth,query,reporting,MERGE,report.coach.monthly-rank,AC-09-36,"Coach monthly ranking list. Evidence: pageReport/coach/classStatistics.js, pageChain/courseStatistics/index.js."
API-085,管理端,/b/mainplan/applyAppointment,POST,applyAppointment,write,booking,REPLACE,booking.appointment.create,createStaffAppointment,"Staff/member books seat with payable card list. OpenAPI POST .../schedule-sessions/{session}/appointments; AC-06-04; tests StaffAppointmentTest. Evidence: select-member-card.js (staff), member selected-member-card."
API-086,管理端,/b/mainplan/CancelAppoint,POST,cancelAppoint,write,booking,REPLACE,booking.appointment.cancel,cancelStaffAppointment,"Cancel booking or waitlist entry. OpenAPI POST .../appointments/{id}/cancel; tests StaffAppointmentTest. Evidence: leagueClassDetails.js, personalTrainerDetails.js."
API-087,管理端,/b/mainplan/findAllPrivateDrainerList,POST,findAllPrivateDrainerList,query,schedule,REPLACE,schedule.private-coach.day-board,getStaffBookingDailyBoard,"Daily private coach lanes on staff day board. OpenAPI GET .../booking/daily-board; tests StaffBookingDailyBoardTest."
API-088,管理端,/b/mainplan/findOneDrainerAppointment,POST,findOneDrainerAppointment,query,booking,REPLACE,booking.staff-private.session.read,listStaffSessionAppointments,"Private coach appointment timeline. OpenAPI GET .../schedule-sessions/{id}/appointments; tests StaffAppointmentTest. Evidence: personalTrainerDetails.js."
API-089,管理端,/b/mainplan/findOneDrainerDetail,POST,findOneDrainerDetail,query,schedule,REPLACE,schedule.private-coach.detail,getStaffScheduleSession,"Private coach session header/detail. OpenAPI GET .../schedule-sessions/{id}; tests StaffScheduleSessionTest."
API-090,管理端,/b/mainplan/findOnePlan,POST,findOnePlan,query,booking,REPLACE,booking.group-session.detail,listStaffSessionAppointments|listStaffSessionWaitlist,"Group session roster buckets: valid, line, cancel, absent. OpenAPI GET .../appointments + .../waitlist; staff session-detail UI; tests StaffAppointmentTest. Evidence: leagueClassDetails.js."
API-091,管理端,/b/mainplan/findTeamPlan,POST,findTeamPlan,query,schedule,REPLACE,schedule.group-session.day-board,getStaffBookingDailyBoard,"Group sessions for one day incl. suspend markers. OpenAPI GET .../booking/daily-board; tests StaffBookingDailyBoardTest."
API-092,管理端,/b/mainplan/getCardListForPay,POST,getCardListForPay,query,member-card,MERGE,member-card.payable.list,listMemberBookingPayableCards,"Payable member cards during staff booking checkout. OpenAPI GET .../booking/sessions/{id}/payable-cards; tests MemberAppointmentTest."
API-093,管理端,/b/mainplan/getDrainerTimeList2,POST,getDrainerTimeList,query,schedule,REPLACE,schedule.private-coach.slots,listStaffScheduleSessions,"Selectable private slots when booking/rescheduling via schedule session query. OpenAPI GET .../schedule-sessions; tests StaffScheduleSessionTest. Evidence: select-time.js, edit-course.js."
API-094,管理端,/b/mainplan/PutAbsentTag,POST,putAbsentTag,write,booking,REPLACE,booking.fulfillment.absent,markStaffAppointmentAbsent,"Mark no-show; may trigger penalty per policy. OpenAPI POST .../appointments/{id}/mark-absent; AC-06-05. Evidence: leagueClassDetails.js."
API-095,管理端,/b/mainplan/replaceFormLine,POST,replaceFormLine,write,booking,REPLACE,booking.waitlist.promote,promoteStaffWaitlistAppointment,"Promote waitlist member to confirmed seat. OpenAPI POST .../appointments/{id}/promote; AC-06-02. Evidence: select-member-card.js."
API-096,管理端,/b/mainplan/saveStaffRemark,POST,saveStaffRemark,write,booking,REPLACE,booking.staff-note.append,updateStaffAppointmentNotes,"Append-only staff-only appointment note. OpenAPI PATCH .../appointments/{id}/staff-notes; AC-06-11. Evidence: leagueClassDetails.js, personalTrainerDetails.js."
API-097,管理端,/b/mainplan/updateAppointTime,POST,updateAppointTime,write,booking,REPLACE,booking.appointment.reschedule,rescheduleStaffPrivateAppointment,"Reschedule private appointment time. OpenAPI POST .../appointments/{id}/reschedule. Evidence: edit-course.js."
API-098,管理端,/b/manageuser/adduserbatch,POST,adduserbatch,write,crm,REPLACE,crm.member.batch-import,AC-08-07,"Paste/batch lead import with failCount/failline. Evidence: 管理端/pageMember/information/index.js preservation()."
API-099,管理端,/b/manageuser/addUserCard,POST,addUserCard,write,member-card,REPLACE,member-card.issue,issueStaffMemberCard,"Staff issues member card from product template. OpenAPI POST .../member-cards; tests StaffMemberCardIssueTest."
API-100,管理端,/b/manageuser/allUserchangeValidTime,POST,allUserchangeValidTime,write,member-card,REPLACE,member-card.validity.batch-adjust,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch validity extension/shrink with ledger."
API-101,管理端,/b/manageuser/alluserridofstopCard,POST,alluserridofstopCard,write,member-card,REPLACE,member-card.freeze.batch-lift,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch lift stop/freeze."
API-102,管理端,/b/manageuser/alluserstopUsercard,POST,alluserstopUsercard,write,member-card,REPLACE,member-card.freeze.batch,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch stop/freeze member cards."
API-103,管理端,/b/manageuser/applyHoliday,POST,applyHoliday,write,member-card,REPLACE,member-card.holiday.apply,startStaffMemberCardHoliday,"Holiday freeze with end date. OpenAPI POST .../member-cards/{id}/holiday/start; tests StaffMemberCardStateTest."
API-104,管理端,/b/manageuser/batchchangeAmount,POST,batchchangeAmount,write,member-card,REPLACE,member-card.balance.batch-adjust,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch balance adjustment via immutable ledger commands."
API-105,管理端,/b/manageuser/batchchangeValidTime,POST,batchchangeValidTime,write,member-card,REPLACE,member-card.validity.batch-adjust,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch validity change."
API-106,管理端,/b/manageuser/batchridofstopCard,POST,batchridofstopCard,write,member-card,REPLACE,member-card.freeze.batch-lift,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch unfreeze."
API-107,管理端,/b/manageuser/batchstopUsercard,POST,batchstopUsercard,write,member-card,REPLACE,member-card.freeze.batch,StaffPlannedApisTest::test_member_card_batch_and_reads_writes,"Batch freeze."
API-108,管理端,/b/manageuser/cancelHoliday,POST,cancelHoliday,write,member-card,REPLACE,member-card.holiday.cancel,endStaffMemberCardHoliday,"Cancel holiday freeze. OpenAPI POST .../member-cards/{id}/holiday/end; tests StaffMemberCardStateTest."
API-109,管理端,/b/manageuser/changeAmount,POST,changeAmount,write,member-card,REPLACE,member-card.balance.adjust,adjustStaffMemberCardBalance,"Single balance adjustment via immutable ledger. OpenAPI POST .../balance-adjustments; tests StaffMemberCardAdjustTest."
API-110,管理端,/b/manageuser/changeInitCardAmount,POST,changeInitCardAmount,write,member-card,REPLACE,member-card.opening-balance.correct,adjustStaffMemberCardBalance,"Opening balance correction via reversal/correction pair on balance-adjustments. OpenAPI POST .../balance-adjustments with correctsEntryId; tests StaffMemberCardAdjustTest."
